No,id,familyNo,family,name,area,areaName,type,typeId,stage,maxStage,catchRarity,powerTierV1,sourceRole,combatRoleV2,BST,baseHP,baseAttack,baseDefense,baseSpeed,evolutionMethod,evolutionParam,nextId,nextName,encounterPool,capturePolicy,wildCatchable,catchRank,moveProfile,gigaEligible,burstEligible,motif,concept,description,Lv1_HP,Lv1_ATK,Lv1_DEF,Lv1_SPD,Lv5_HP,Lv5_ATK,Lv5_DEF,Lv5_SPD,Lv10_HP,Lv10_ATK,Lv10_DEF,Lv10_SPD,Lv20_HP,Lv20_ATK,Lv20_DEF,Lv20_SPD,Lv30_HP,Lv30_ATK,Lv30_DEF,Lv30_SPD,Lv50_HP,Lv50_ATK,Lv50_DEF,Lv50_SPD,Lv100_HP,Lv100_ATK,Lv100_DEF,Lv100_SPD
065,m065,F022,カセキーノ,コダイガメ,2,ほのおの かざん・すなの たに,いわ,rock,2,3,rare,rare,guard,defenseTank,270,75,60,102,33,level,40,m066,ゲンコツヅラ,wild,normal-wild,True,3,40/60/60/40-60,False,False,化石と古文字,とても古い記憶を、こうらに書きためている,こうらの もようが もじだと わかった。ゆっくり ゆっくり あるく。,12,6,7,5,22,11,15,8,35,17,25,11,60,29,45,18,85,41,66,24,135,65,107,38,260,125,209,71
066,m066,F022,カセキーノ,ゲンコツヅラ,2,ほのおの かざん・すなの たに,いわ,rock,3,3,epic,epic,guard,defenseTank,367,102,81,139,45,,,,,evolutionOnly,not-wild,False,5,60/60/80/100,False,True,化石と古文字,とても古い記憶を、こうらに書きためている,こうらを よむと むかしの はなしが ぜんぶ わかる。いきた ずかん。,13,6,7,5,25,13,18,9,40,21,32,14,70,37,60,23,101,53,88,32,162,86,144,50,314,167,283,95
067,m067,F023,ネジコロ,ネジコロ,2,ほのおの かざん・すなの たに,はがね,steel,1,3,common,common,guard,defenseTank,190,53,42,72,23,level,23,m068,ハガネット,wild,normal-wild,True,1,40/40/40/40,False,False,ねじと機構,ひとりでに回るねじが、街を守る鎧になる,ねじが たくさん ついている。ひとりでに くるくる まわる。,12,5,6,5,20,9,12,7,30,13,19,9,51,21,33,14,71,30,48,18,113,47,77,28,216,89,149,51
068,m068,F023,ネジコロ,ハガネット,2,ほのおの かざん・すなの たに,はがね,steel,2,3,common,common,guard,defenseTank,256,71,57,97,31,held_item_levelup,steelplate,m069,テツガイア,wild,normal-wild,True,2,40/60/60/40-60,False,False,ねじと機構,ひとりでに回るねじが、街を守る鎧になる,からだが つよい はがね。たたくと きれいな おとが なる。,12,6,6,5,22,10,14,8,34,16,24,11,58,27,43,17,82,39,63,23,131,62,102,36,252,119,199,67
069,m069,F023,ネジコロ,テツガイア,2,ほのおの かざん・すなの たに,はがね,steel,3,3,rare,rare,guard,defenseTank,340,95,75,129,41,,,,,evolutionOnly,not-wild,False,4,60/60/80/100,False,False,ねじと機構,ひとりでに回るねじが、街を守る鎧になる,どんな こうげきも はねかえす。うごくと ずしんと ひびく。,12,6,7,5,24,12,17,9,39,20,30,13,68,35,56,21,97,50,82,29,155,80,134,46,300,155,263,87
070,m070,F024,カミナリコ,カミナリコ,2,ほのおの かざん・すなの たに,でんき,electric,1,3,rare,rare,speed,speed,200,44,64,32,60,level,25,m071,イナヅマウマ,wild,normal-wild,True,2,40/40/40/40,False,False,雷雲と馬,そわそわが止まらない子が、嵐そのものになる,かみなりぐもから おちてきた こ。いつも そわそわ している。,11,6,5,6,19,11,8,11,28,17,11,17,47,30,17,29,66,43,24,41,104,69,37,65,198,133,69,125
071,m071,F024,カミナリコ,イナヅマウマ,2,ほのおの かざん・すなの たに,でんき,electric,2,3,rare,rare,speed,speed,270,59,87,43,81,level,43,m072,ライテイガ,wild,normal-wild,True,3,40/60/60/40-60,False,False,雷雲と馬,そわそわが止まらない子が、嵐そのものになる,かみなりの はやさで はしる。とおったあと ひかりが のこる。,12,6,5,6,20,13,9,13,31,22,13,21,53,39,22,37,75,57,30,53,119,92,48,86,228,179,91,167
072,m072,F024,カミナリコ,ライテイガ,2,ほのおの かざん・すなの たに,でんき,electric,3,3,epic,epic,attacker,fastGlass,367,78,120,57,112,,,,,evolutionOnly,not-wild,False,5,60/60/80/100,True,False,雷雲と馬,そわそわが止まらない子が、嵐そのものになる,つのから かみなりを よぶ。あらしの ひの ぬし。,12,7,6,7,22,17,10,16,35,29,16,27,61,53,27,49,86,77,39,72,138,125,62,117,266,245,119,229
073,m073,F025,ウロッコ,ウロッコ,2,ほのおの かざん・すなの たに,みず,water,1,3,common,common,speed,speed,190,42,61,30,57,level,23,m074,ハヤビレ,wild,normal-wild,True,1,40/40/40/40,False,False,小魚と群れ,ひとりだと不安な子が、群れを率いる速さを得る,むれで およぐ。ひとりに なると ふあんに なる。,11,6,5,6,19,11,8,10,28,17,11,16,46,29,17,27,65,41,23,39,102,66,35,62,194,127,65,119
074,m074,F025,ウロッコ,ハヤビレ,2,ほのおの かざん・すなの たに,みず,water,2,3,common,common,attacker,attacker,256,58,86,43,69,level,40,m075,シオカゼル,wild,normal-wild,True,2,40/60/60/40-60,False,False,小魚と群れ,ひとりだと不安な子が、群れを率いる速さを得る,むれの せんとうを およぐ。ものすごい はやさ。,12,6,5,6,20,13,9,11,31,22,13,18,53,39,22,32,74,56,30,46,118,91,48,74,226,177,91,143
075,m075,F025,ウロッコ,シオカゼル,2,ほのおの かざん・すなの たに,みず,water,3,3,rare,rare,speed,speed,340,77,113,56,94,,,,,evolutionOnly,not-wild,False,4,60/60/80/100,False,False,小魚と群れ,ひとりだと不安な子が、群れを率いる速さを得る,みずを きって すすむ。とおった あとに しおかぜが ふく。,12,7,6,6,22,16,10,14,35,27,16,23,60,50,27,42,86,72,38,61,137,118,61,99,264,231,117,193
076,m076,F026,クラフワ,クラフワ,2,ほのおの かざん・すなの たに,みず,water,1,3,common,common,support,balanced,190,51,51,46,42,level,23,m077,ヒカリガサ,wild,normal-wild,True,1,40/40/40/40,False,False,くらげと夜光,ふわふわ漂うだけの子が、夜の海の灯になる,ふわふわ ういている。さわると すこし ぴりっと する。,12,6,5,5,20,10,9,9,30,15,14,13,50,25,23,21,70,35,32,30,111,56,51,47,212,107,97,89
077,m077,F026,クラフワ,ヒカリガサ,2,ほのおの かざん・すなの たに,みず,water,2,3,common,common,support,balanced,256,69,69,62,56,level,40,m078,ルミクラゲン,wild,normal-wild,True,2,40/60/60/40-60,False,False,くらげと夜光,ふわふわ漂うだけの子が、夜の海の灯になる,かさの もようが ひかりだす。よるの うみで きれい。,12,6,6,6,21,11,11,10,33,18,17,16,57,32,29,27,81,46,42,38,129,74,67,61,248,143,129,117
078,m078,F026,クラフワ,ルミクラゲン,2,ほのおの かざん・すなの たに,みず,water,3,3,rare,rare,support,balanced,340,92,92,82,74,,,,,evolutionOnly,not-wild,False,4,60/60/80/100,False,False,くらげと夜光,ふわふわ漂うだけの子が、夜の海の灯になる,よるの うみを ひかりで うめる。ふねの みちしるべに なる。,12,6,6,6,24,14,13,12,38,23,21,19,66,41,37,34,95,60,54,49,152,97,87,79,294,189,169,153
079,m079,F027,キノポイ,キノポイ,2,ほのおの かざん・すなの たに,どく,poison,1,3,common,common,support,balanced,190,51,51,46,42,level,23,m080,キノタケン,wild,normal-wild,True,1,40/40/40/40,False,False,きのこと菌糸,湿った場所でひとり育つ子が、森ぜんぶとつながる,あたまの かさから こなを だす。じめじめした ばしょが すき。,12,6,5,5,20,10,9,9,30,15,14,13,50,25,23,21,70,35,32,30,111,56,51,47,212,107,97,89
080,m080,F027,キノポイ,キノタケン,2,ほのおの かざん・すなの たに,どく,poison,2,3,common,common,attacker,attacker,256,67,76,59,54,stone,leaf,m081,キノガルダ,wild,normal-wild,True,2,40/60/60/40-60,False,False,きのこと菌糸,湿った場所でひとり育つ子が、森ぜんぶとつながる,かさを ふりまわして たたかう。もりの おくに すむ。,12,6,6,6,21,12,10,10,33,20,16,15,56,35,28,26,80,50,40,37,127,81,64,59,244,157,123,113
081,m081,F027,キノポイ,キノガルダ,2,ほのおの かざん・すなの たに,どく,poison,3,3,rare,rare,guard,guard,340,94,93,89,64,,,,,evolutionOnly,not-wild,False,4,60/60/80/100,False,False,きのこと菌糸,湿った場所でひとり育つ子が、森ぜんぶとつながる,もりじゅうの キノコと つながる。もりの ようすが ぜんぶ わかる。,12,6,6,6,24,14,13,11,38,23,22,17,67,42,40,30,96,60,58,43,154,98,94,69,298,191,183,133
082,m082,F028,ツルリン,ツルリン,2,ほのおの かざん・すなの たに,くさ,grass,1,3,common,common,support,balanced,190,51,51,46,42,level,23,m083,ジャングリ,wild,normal-wild,True,1,40/40/40/40,False,False,つると密林,高いところが好きな子が、森の道そのものになる,つるを のばして きに ぶらさがる。たかい ところが すき。,12,6,5,5,20,10,9,9,30,15,14,13,50,25,23,21,70,35,32,30,111,56,51,47,212,107,97,89
083,m083,F028,ツルリン,ジャングリ,2,ほのおの かざん・すなの たに,くさ,grass,2,3,common,common,attacker,attacker,256,67,76,59,54,level,40,m084,ミドリヴァイン,wild,normal-wild,True,2,40/60/60/40-60,False,False,つると密林,高いところが好きな子が、森の道そのものになる,つるを むちの ように つかう。もりを すばやく いどうする。,12,6,6,6,21,12,10,10,33,20,16,15,56,35,28,26,80,50,40,37,127,81,64,59,244,157,123,113
084,m084,F028,ツルリン,ミドリヴァイン,2,ほのおの かざん・すなの たに,くさ,grass,3,3,rare,rare,attacker,attacker,340,87,108,76,69,,,,,evolutionOnly,not-wild,False,4,60/60/80/100,False,False,つると密林,高いところが好きな子が、森の道そのものになる,つるで もりに みちを つくる。まいごの どうぶつを あんないする。,12,7,6,6,23,15,12,11,37,26,20,18,64,48,35,32,92,69,50,46,147,113,81,74,284,221,157,143
085,m085,F029,サボテニョ,サボテニョ,2,ほのおの かざん・すなの たに,くさ,grass,1,3,common,common,guard,hpTank,190,72,46,42,30,level,23,m086,ハナトゲ,wild,normal-wild,True,1,40/40/40/40,False,False,サボテンと花,とげだらけで近寄れない子が、いちばん綺麗な花を咲かせる,とげが たくさん。みずを からだに ためている。,12,5,5,5,22,9,9,8,34,14,13,11,58,23,21,17,83,32,30,23,132,51,47,35,254,97,89,65
086,m086,F029,サボテニョ,ハナトゲ,2,ほのおの かざん・すなの たに,くさ,grass,2,3,common,common,attacker,attacker,256,88,71,55,42,level,40,m087,カクタリア,wild,normal-wild,True,2,40/60/60/40-60,False,False,サボテンと花,とげだらけで近寄れない子が、いちばん綺麗な花を咲かせる,とげを やわらげ、はなの つぼみを つけた。,12,6,6,5,23,12,10,9,37,19,16,13,65,33,27,21,92,47,38,30,148,76,60,47,286,147,115,89
