fromNo,fromId,fromName,toNo,toId,toName,familyNo,area,type,method,param,triggerRule,fromBST,toBST,deltaBST,deltaBaseHP,deltaBaseAttack,deltaBaseDefense,deltaBaseSpeed,nonDecrease,triggerBefore_HP,triggerAfter_HP,triggerBefore_ATK,triggerAfter_ATK,triggerBefore_DEF,triggerAfter_DEF,triggerBefore_SPD,triggerAfter_SPD
199,m199,カガミィ,200,m200,ミラーガネ,F068,4,はがね,level,42,Lv.42到達で進化可能,200,292,92,26,20,35,11,True,97.0,119.0,50.0,67.0,45.0,74.0,41.0,51.0
200,m200,ミラーガネ,201,m201,アルジェント,F068,4,はがね,level,55,Lv.55到達で進化可能,292,367,75,23,28,18,6,True,153.0,178.0,86.0,117.0,96.0,116.0,65.0,72.0
202,m202,ヨロイダマ,203,m203,ソウルナイト,F069,4,ゴースト,level,42,Lv.42到達で進化可能,200,292,92,28,35,22,7,True,105.0,129.0,38.0,68.0,65.0,83.0,25.0,31.0
203,m203,ソウルナイト,204,m204,エターナード,F069,4,ゴースト,level,55,Lv.55到達で進化可能,292,367,75,23,28,18,6,True,166.0,191.0,87.0,118.0,108.0,128.0,39.0,45.0
205,m205,ヤミノコ,206,m206,クロマトウ,F070,4,あく,level,42,Lv.42到達で進化可能,200,292,92,22,35,18,17,True,88.0,107.0,58.0,88.0,31.0,47.0,55.0,69.0
206,m206,クロマトウ,207,m207,ノクターナ,F070,4,あく,stone,dusk,duskを1個消費して即時進化,292,408,116,23,40,16,37,True,,,,,,,,
208,m208,ヒカリノコ,209,m209,ルミナリア,F071,4,フェアリー,level,42,Lv.42到達で進化可能,200,292,92,35,22,20,15,True,115.0,145.0,45.0,63.0,41.0,58.0,31.0,44.0
209,m209,ルミナリア,210,m210,ステラリーゼ,F071,4,フェアリー,stone,moon,moonを1個消費して即時進化,292,408,116,44,28,25,19,True,,,,,,,,
211,m211,ヒノトリコ,212,m212,レンカドリ,F072,4,ほのお,level,42,Lv.42到達で進化可能,200,292,92,22,35,18,17,True,92.0,110.0,68.0,98.0,38.0,53.0,35.0,49.0
212,m212,レンカドリ,213,m213,フェニクロス,F072,4,ほのお,level,55,Lv.55到達で進化可能,292,408,116,28,44,23,21,True,142.0,172.0,127.0,175.0,68.0,94.0,63.0,86.0
214,m214,ウズマキィ,215,m215,ウズシオン,F073,4,みず,level,42,Lv.42到達で進化可能,200,292,92,22,35,18,17,True,88.0,107.0,58.0,88.0,31.0,47.0,55.0,69.0
215,m215,ウズシオン,216,m216,オケアノス,F073,4,みず,level,55,Lv.55到達で進化可能,292,408,116,44,28,25,19,True,137.0,186.0,113.0,144.0,60.0,87.0,89.0,110.0
217,m217,ライジンコ,218,m218,ゴロナルカ,F074,4,でんき,stone,thunder,thunderを1個消費して即時進化,200,292,92,22,35,18,17,True,,,,,,,,
218,m218,ゴロナルカ,219,m219,ライゼクス,F074,4,でんき,level,55,Lv.55到達で進化可能,292,408,116,23,40,16,37,True,142.0,167.0,127.0,171.0,68.0,86.0,63.0,104.0
220,m220,ブシドウジ,221,m221,ニトウジ,F075,4,かくとう,level,42,Lv.42到達で進化可能,200,292,92,28,35,22,7,True,102.0,125.0,68.0,98.0,45.0,63.0,18.0,24.0
221,m221,ニトウジ,222,m222,ゲキリンサイ,F075,4,かくとう,level,55,Lv.55到達で進化可能,292,367,75,23,28,18,6,True,161.0,187.0,127.0,157.0,82.0,101.0,30.0,36.0
223,m223,クモクジラ,224,m224,ソラクジラ,F076,4,ひこう,level,42,Lv.42到達で進化可能,200,292,92,30,18,33,11,True,105.0,130.0,38.0,53.0,65.0,93.0,25.0,34.0
224,m224,ソラクジラ,225,m225,アマツクジラ,F076,4,ひこう,level,55,Lv.55到達で進化可能,292,408,116,37,23,42,14,True,168.0,209.0,68.0,94.0,120.0,166.0,43.0,58.0
226,m226,ホタルコ,227,m227,ホタルーナ,F077,4,むし,level,42,Lv.42到達で進化可能,200,292,92,25,25,22,20,True,97.0,118.0,50.0,71.0,45.0,63.0,41.0,58.0
227,m227,ホタルーナ,228,m228,ルシオラント,F077,4,むし,level,55,Lv.55到達で進化可能,292,367,75,20,20,18,17,True,151.0,173.0,91.0,113.0,82.0,101.0,75.0,94.0
229,m229,ムラサキリ,230,m230,ドクガイオ,F078,4,どく,level,42,Lv.42到達で進化可能,200,292,92,22,35,18,17,True,92.0,110.0,68.0,98.0,38.0,53.0,35.0,49.0
230,m230,ドクガイオ,231,m231,ミアズマ,F078,4,どく,level,55,Lv.55到達で進化可能,292,367,75,18,29,15,13,True,142.0,161.0,127.0,159.0,68.0,85.0,63.0,77.0
232,m232,ホシュ,233,m233,ホシラン,F079,4,ノーマル,level,42,Lv.42到達で進化可能,200,270,70,19,19,17,15,True,97.0,113.0,50.0,66.0,45.0,59.0,41.0,54.0
233,m233,ホシラン,234,m234,セイランドス,F079,4,ノーマル,level,55,Lv.55到達で進化可能,270,367,97,26,26,23,22,True,145.0,173.0,85.0,113.0,76.0,101.0,69.0,94.0
