fromNo,fromId,fromName,toNo,toId,toName,familyNo,area,type,method,param,triggerRule,fromBST,toBST,deltaBST,deltaBaseHP,deltaBaseAttack,deltaBaseDefense,deltaBaseSpeed,nonDecrease,triggerBefore_HP,triggerAfter_HP,triggerBefore_ATK,triggerAfter_ATK,triggerBefore_DEF,triggerAfter_DEF,triggerBefore_SPD,triggerAfter_SPD
100,m100,モコメェ,101,m101,フワメェ,F034,2,ノーマル,level,23,Lv.23到達で進化可能,190,256,66,21,13,24,8,True,61.0,70.0,22.0,28.0,36.0,47.0,15.0,19.0
101,m101,フワメェ,102,m102,ラムガルド,F034,2,ノーマル,level,40,Lv.40到達で進化可能,256,340,84,27,17,30,10,True,115.0,137.0,45.0,59.0,78.0,102.0,29.0,37.0
103,m103,コオリンコ,104,m104,ユキヴォル,F035,2,こおり,level,23,Lv.23到達で進化可能,190,270,80,24,30,19,7,True,56.0,67.0,28.0,42.0,26.0,34.0,24.0,27.0
104,m104,ユキヴォル,105,m105,フブキヴォルグ,F035,2,こおり,level,40,Lv.40到達で進化可能,270,367,97,29,37,23,8,True,110.0,133.0,69.0,99.0,57.0,75.0,44.0,50.0
106,m106,カゲコロ,107,m107,ヤミバルグ,F036,2,あく,level,23,Lv.23到達で進化可能,190,270,80,19,31,16,14,True,52.0,61.0,33.0,47.0,18.0,26.0,31.0,37.0
107,m107,ヤミバルグ,108,m108,ヨイヤミガ,F036,2,あく,level,40,Lv.40到達で進化可能,270,367,97,19,33,14,31,True,98.0,114.0,78.0,105.0,41.0,53.0,61.0,86.0
109,m109,オバケポ,110,m110,スリヌケル,F037,2,ゴースト,level,23,Lv.23到達で進化可能,190,270,80,19,31,16,14,True,56.0,65.0,28.0,42.0,26.0,33.0,24.0,30.0
110,m110,スリヌケル,111,m111,ユウゲンド,F037,2,ゴースト,level,40,Lv.40到達で進化可能,270,367,97,19,33,14,31,True,106.0,121.0,70.0,97.0,54.0,65.0,49.0,74.0
112,m112,カボチャッコ,113,m113,ジャックビ,F038,2,ゴースト,level,23,Lv.23到達で進化可能,190,270,80,19,31,16,14,True,56.0,65.0,28.0,42.0,26.0,33.0,24.0,30.0
113,m113,ジャックビ,114,m114,マツリガルド,F038,2,ゴースト,stone,dusk,duskを1個消費して即時進化,270,367,97,19,33,14,31,True,,,,,,,,
115,m115,ホシノコ,116,m116,ネガイリア,F039,2,フェアリー,level,34,Lv.34到達で進化可能,200,367,167,63,40,37,27,True,95.0,138.0,37.0,64.0,34.0,60.0,26.0,45.0
117,m117,タヌポン,118,m118,マボロヌキ,F040,2,ノーマル,level,31,Lv.31到達で進化可能,190,340,150,41,40,36,33,True,72.0,98.0,36.0,61.0,33.0,55.0,31.0,51.0
