fromNo,fromId,fromName,toNo,toId,toName,familyNo,area,type,method,param,triggerRule,fromBST,toBST,deltaBST,deltaBaseHP,deltaBaseAttack,deltaBaseDefense,deltaBaseSpeed,nonDecrease,triggerBefore_HP,triggerAfter_HP,triggerBefore_ATK,triggerAfter_ATK,triggerBefore_DEF,triggerAfter_DEF,triggerBefore_SPD,triggerAfter_SPD
141,m141,カブトガル,142,m142,ヘラクレオン,F048,3,むし,held_item_levelup,barkarmor,barkarmorを装備した状態で次のLvUP時に進化Ready,270,367,97,19,33,14,31,True,,,,,,,,
143,m143,ホシヨミ,144,m144,セイザール,F049,3,エスパー,stone,moon,moonを1個消費して即時進化,200,367,167,45,45,40,37,True,,,,,,,,
145,m145,ヒトダマン,146,m146,ランタンゴ,F050,3,ゴースト,level,30,Lv.30到達で進化可能,190,270,80,22,22,19,17,True,65.0,78.0,41.0,54.0,23.0,34.0,39.0,49.0
146,m146,ランタンゴ,147,m147,ミチシルベ,F050,3,ゴースト,stone,dusk,duskを1個消費して即時進化,270,367,97,19,33,14,31,True,,,,,,,,
148,m148,カラスケ,149,m149,カゲラス,F051,3,あく,level,30,Lv.30到達で進化可能,190,270,80,19,31,16,14,True,65.0,76.0,41.0,60.0,23.0,32.0,39.0,47.0
149,m149,カゲラス,150,m150,ミツアシガ,F051,3,あく,held_item_levelup,nightfeather,nightfeatherを装備した状態で次のLvUP時に進化Ready,270,367,97,19,33,14,31,True,,,,,,,,
151,m151,コギツネ,152,m152,バケギツネ,F052,3,あく,level,32,Lv.32到達で進化可能,200,270,70,17,27,14,12,True,70.0,81.0,45.0,63.0,25.0,34.0,43.0,51.0
152,m152,バケギツネ,153,m153,キュウビガミ,F052,3,あく,level,48,Lv.48到達で進化可能,270,367,97,19,33,14,31,True,116.0,134.0,92.0,124.0,49.0,62.0,74.0,103.0
154,m154,ハリガネン,155,m155,コウテツガ,F053,3,はがね,level,30,Lv.30到達で進化可能,190,270,80,22,18,30,10,True,65.0,78.0,41.0,52.0,23.0,41.0,39.0,45.0
155,m155,コウテツガ,156,m156,ガードヴァルツ,F053,3,はがね,held_item_levelup,steelplate,steelplateを装備した状態で次のLvUP時に進化Ready,270,367,97,27,21,37,12,True,,,,,,,,
157,m157,イシコロン,158,m158,ガケマモル,F054,3,いわ,level,30,Lv.30到達で進化可能,190,256,66,18,15,25,8,True,71.0,82.0,30.0,39.0,48.0,63.0,18.0,23.0
158,m158,ガケマモル,159,m159,イワガミラ,F054,3,いわ,stone,ancient,ancientを1個消費して即時進化,256,367,111,31,25,42,13,True,,,,,,,,
160,m160,ドロネズ,161,m161,ヌマクジラ,F055,3,じめん,level,30,Lv.30到達で進化可能,190,270,80,30,19,18,13,True,70.0,88.0,35.0,47.0,32.0,43.0,30.0,38.0
161,m161,ヌマクジラ,162,m162,ヌマドロス,F055,3,じめん,level,45,Lv.45到達で進化可能,270,367,97,37,23,21,16,True,127.0,161.0,68.0,88.0,62.0,81.0,54.0,68.0
163,m163,ツチノコン,164,m164,ジシンドン,F056,3,じめん,level,30,Lv.30到達で進化可能,190,270,80,30,19,18,13,True,83.0,101.0,32.0,44.0,30.0,41.0,23.0,30.0
164,m164,ジシンドン,165,m165,テラガイア,F056,3,じめん,level,45,Lv.45到達で進化可能,270,367,97,37,23,21,16,True,146.0,180.0,63.0,84.0,59.0,77.0,43.0,58.0
166,m166,ヘビニョロ,167,m167,ドクヘビン,F057,3,どく,level,30,Lv.30到達で進化可能,190,270,80,19,31,16,14,True,65.0,76.0,41.0,60.0,23.0,32.0,39.0,47.0
167,m167,ドクヘビン,168,m168,ジャドクラ,F057,3,どく,level,45,Lv.45到達で進化可能,270,367,97,23,37,19,18,True,109.0,130.0,87.0,121.0,46.0,63.0,68.0,85.0
169,m169,スモウコ,170,m170,ドスコイン,F058,3,かくとう,level,30,Lv.30到達で進化可能,190,270,80,26,16,29,9,True,76.0,92.0,27.0,37.0,45.0,63.0,18.0,24.0
170,m170,ドスコイン,171,m171,フドウザン,F058,3,かくとう,level,45,Lv.45到達で進化可能,270,367,97,31,19,35,12,True,133.0,161.0,53.0,70.0,92.0,123.0,33.0,44.0
172,m172,ワシチ,173,m173,オオワシガ,F059,3,ひこう,level,30,Lv.30到達で進化可能,190,270,80,19,31,16,14,True,67.0,79.0,48.0,66.0,27.0,37.0,25.0,33.0
173,m173,オオワシガ,174,m174,テンショウガ,F059,3,ひこう,held_item_levelup,skyplume,skyplumeを装備した状態で次のLvUP時に進化Ready,270,367,97,19,33,14,31,True,,,,,,,,
175,m175,ハナヨウ,176,m176,フラワリア,F060,3,フェアリー,level,32,Lv.32到達で進化可能,200,270,70,27,17,15,11,True,90.0,107.0,35.0,46.0,33.0,42.0,25.0,32.0
176,m176,フラワリア,177,m177,ブルーメルナ,F060,3,フェアリー,level,48,Lv.48到達で進化可能,270,367,97,37,23,21,16,True,156.0,192.0,67.0,89.0,61.0,81.0,46.0,61.0
178,m178,デンチュン,179,m179,スパークル,F061,3,でんき,level,30,Lv.30到達で進化可能,190,270,80,19,31,16,14,True,70.0,82.0,35.0,54.0,32.0,42.0,30.0,38.0
179,m179,スパークル,180,m180,エレキオーラ,F061,3,でんき,level,45,Lv.45到達で進化可能,270,367,97,19,33,14,31,True,118.0,135.0,78.0,108.0,60.0,73.0,55.0,83.0
181,m181,マネッコ,182,m182,ウツシミ,F062,3,ノーマル,level,32,Lv.32到達で進化可能,200,270,70,19,19,17,15,True,76.0,88.0,39.0,51.0,35.0,46.0,33.0,42.0
182,m182,ウツシミ,183,m183,オリジナ,F062,3,ノーマル,level,48,Lv.48到達で進化可能,270,367,97,26,26,23,22,True,128.0,153.0,75.0,100.0,67.0,89.0,61.0,82.0
